model,condition,idx,cluster,answer_words,pc1,pc2
base_llama,clean,1001,7,54,0.03192111511422689,-0.09638533891601456
base_llama,clean,1002,7,348,0.059091275683400155,-0.15596766177829463
base_llama,clean,1003,2,104,0.026481621892042288,-0.07865178245729078
base_llama,clean,1004,9,305,0.048665273338112665,-0.1424632139298711
base_llama,clean,1005,8,49,0.07554882713706199,-0.0718633707206015
base_llama,clean,1006,2,105,0.041338389445798505,-0.12029880866058898
base_llama,clean,1007,2,216,0.04622747595535005,-0.1406585587724575
base_llama,clean,1008,7,177,0.023227222567362094,-0.07368422026316779
base_llama,clean,1009,6,128,0.03969757823162112,-0.12463153278499023
base_llama,clean,1010,8,63,0.07952056675029703,-0.14649383977171093
base_llama,clean,1011,8,53,0.08158104216458646,-0.06908635863876042
base_llama,clean,1012,9,86,0.02603611401182455,-0.07878278883363009
base_llama,clean,1013,8,72,0.05088576366196779,-0.11735102795531802
base_llama,clean,1014,8,66,0.04528868394893185,-0.10573296407784244
base_llama,clean,1015,8,182,0.03156939925016675,-0.09396155871902274
base_llama,clean,1016,8,130,0.11022623274869606,-0.14918731802913024
base_llama,clean,1017,8,258,0.0665983703497424,-0.1523811161906491
base_llama,clean,1018,2,171,0.0394212031233643,-0.1175276205860411
base_llama,clean,1019,8,38,0.07113459149436038,-0.07107439531163764
base_llama,clean,2001,6,79,0.03203218822087555,-0.10154829835126981
base_llama,clean,2002,5,24,0.014602904269638435,-0.04474171076747653
base_llama,clean,2003,2,69,0.021853563564147846,-0.07033236583886711
base_llama,clean,2004,0,98,0.027641437318896057,-0.08543414121864977
base_llama,clean,2005,5,81,0.027788869710244517,-0.08651811047716534
base_llama,clean,2006,6,177,0.04833078544391659,-0.07729690347633224
base_llama,clean,2007,0,128,0.042666714830028894,-0.0900801494833093
base_llama,clean,2008,6,255,0.03071307335968006,-0.09110599376200497
base_llama,clean,2009,6,291,0.09609130633876316,-0.1667287945641311
base_llama,clean,2010,6,365,0.09145659739143518,-0.1748991739428707
base_llama,clean,2011,2,564,0.01939336552883593,-0.06620094464814721
base_llama,clean,2012,4,75,0.010223244315353071,-0.03400433786252831
base_llama,clean,2013,2,242,0.03744583374766427,-0.11361615084084083
base_llama,clean,2014,1,15,0.9421449429585216,0.3250097863166272
base_llama,clean,2015,8,36,0.06775999346614407,-0.08848968508214597
base_llama,clean,2016,0,263,0.0386758547707168,-0.12957334313378427
base_llama,clean,2017,2,100,0.03183894783635514,-0.09667058600299773
base_llama,clean,2018,6,405,0.0702072757162814,-0.18641182645888074
