cluster,base_llama,llava_cot,qwen2_5_vl,r1_onevision,clean,glass_blur,snow,zoom_blur
0,0.204,0.19,0.285,0.321,0.241,0.234,0.263,0.263
1,1.0,0.0,0.0,0.0,0.38,0.22,0.3,0.1
2,0.233,0.231,0.227,0.309,0.247,0.242,0.245,0.265
3,0.229,0.271,0.25,0.25,0.25,0.229,0.271,0.25
4,0.184,0.213,0.333,0.27,0.255,0.213,0.262,0.27
5,0.204,0.285,0.228,0.283,0.261,0.259,0.251,0.228
6,0.248,0.233,0.277,0.243,0.248,0.257,0.243,0.252
7,0.241,0.282,0.288,0.189,0.247,0.262,0.241,0.25
8,0.353,0.402,0.147,0.098,0.25,0.265,0.235,0.25
9,0.251,0.214,0.3,0.234,0.229,0.26,0.251,0.26
